å
alle
andre
at
av
både
bæe
bare
begge
blant
ble
blei
bli
blir
blitt
bort
bra
bruke
com
da
då
de
dag
deg
dei
deim
deira
deires
dem
den
denne
der
dere
deres
det
dette
di
din
disse
dit
ditt
du
dykk
dykkar
eg
ein
eit
eitt
eller
elles
en
ene
eneste
enhver
enn
er
et
ett
etter
facebook
få
for
før
får
fikk
fordi
forsøke
først
fra
fram
gå
gjør
gjorde
gjøre
god
går
ha
hadde
han
hans
har
hennar
henne
hennes
her
hit
hjå
ho
hoe
honom
hoss
hossen
hun
hva
hvem
hver
hvilke
hvilken
hvis
html
http
https
hvor
hvordan
hvorfor
i
ikke
ikkje
ingen
ingi
inkje
inn
innen
inni
ja
jeg
kl
kan
kom
korleis
korso
kun
kunne
kva
kvar
kvarhelst
kven
kvi
kvifor
lage
lang
lik
like
må
man
mange
møte
me
med
medan
meg
meget
mellom
men
mens
mer
mest
mi
min
mine
mitt
mot
mye
mykje
nå
når
ned
nei
no
noe
noen
noka
noko
nokon
nokor
nokre
ny
no
og
også
om
opp
oss
over
på
rett
riktig
så
samme
sønn
seg
selv
si
sia
sidan
siden
sin
sine
sist
sitt
sjøl
skal
skulle
slik
slutt
so
som
somme
somt
start
stille
ta
tid
til
tilbake
tinyurl
um
under
upp
ut
uten
være
vårt
var
vår
vart
varte
ved
verdi
vere
verte
v
vi
vil
ville
vite
vore
vors
vort
vært
youtube
www
watch
a
u
ed
uk
bc
b
bd
d
sier
if�lge
